YEAR,MONTH,DAY,PRECIPITATION,MAX TEMP,MIN TEMP,MEAN TEMP
1970,1,1,0,77,57,67
1970,1,2,0,60,49,54.5
1970,1,3,1,56,48,52
1970,1,4,0,54,40,47
1970,1,5,0,70,43,56.5
1970,1,6,1.55,68,56,62
1970,1,7,0,67,44,55.5
1970,1,8,0,55,28,41.5
1970,1,9,0,48,29,38.5
1970,1,10,0,44,24,34
1970,1,11,0,61,26,43.5
1970,1,12,0,75,43,59
1970,1,13,0,71,48,59.5
1970,1,14,0.08,62,53,57.5
1970,1,15,0.95,64,56,60
1970,1,16,0.72,71,56,63.5
1970,1,17,0,78,61,69.5
1970,1,18,0,77,57,67
1970,1,19,0,74,55,64.5
1970,1,20,0,68,45,56.5
1970,1,21,0,66,44,55
1970,1,22,0,58,37,47.5
1970,1,23,0,66,33,49.5
1970,1,24,0,65,44,54.5
1970,1,25,0,74,38,56
1970,1,26,0,78,52,65
1970,1,27,0,75,52,63.5
1970,1,28,0,81,58,69.5
1970,1,29,0,82,56,69
1970,1,30,0.05,74,58,66
1970,1,31,0,60,36,48
1970,2,1,0,69,43,56
1970,2,2,1.15,70,61,65.5
1970,2,3,1.02,73,55,64
1970,2,4,0,57,28,42.5
1970,2,5,0,61,36,48.5
1970,2,6,0,64,52,58
1970,2,7,0.22,69,53,61
1970,2,8,0,69,46,57.5
1970,2,9,0,75,44,59.5
1970,2,10,0,68,40,54
1970,2,11,0,67,37,52
1970,2,12,0,70,49,59.5
1970,2,13,0,68,45,56.5
1970,2,14,0,78,41,59.5
1970,2,15,0,80,53,66.5
1970,2,16,0.46,82,64,73
1970,2,17,0.65,72,60,66
1970,2,18,0,67,55,61
1970,2,19,0,73,49,61
1970,2,20,0,69,52,60.5
1970,2,21,0,58,40,49
1970,2,22,0,71,45,58
1970,2,23,0,78,43,60.5
1970,2,24,0,77,43,60
1970,2,25,0.05,77,51,64
1970,2,26,0.2,66,45,55.5
1970,2,27,0,61,44,52.5
1970,2,28,0,71,45,58
1970,2,29,-99.99,-99.9,-99.9,-99.9
1970,3,1,0,79,45,62
1970,3,2,0,80,55,67.5
1970,3,3,0,78,54,66
1970,3,4,0,78,61,69.5
1970,3,5,0.55,72,61,66.5
1970,3,6,0,75,55,65
1970,3,7,0,76,54,65
1970,3,8,0,78,59,68.5
1970,3,9,1.35,74,54,64
1970,3,10,0,78,48,63
1970,3,11,0,78,53,65.5
1970,3,12,0.95,85,61,73
1970,3,13,0,76,60,68
1970,3,14,0,65,41,53
1970,3,15,0,68,34,51
1970,3,16,0,64,40,52
1970,3,17,0,75,50,62.5
1970,3,18,0,86,57,71.5
1970,3,19,0,85,61,73
1970,3,20,0,87,64,75.5
1970,3,21,0,86,63,74.5
1970,3,22,0.2,79,66,72.5
1970,3,23,0,70,43,56.5
1970,3,24,0,78,46,62
1970,3,25,0,77,44,60.5
1970,3,26,1.15,68,61,64.5
1970,3,27,0,69,55,62
1970,3,28,0.18,88,61,74.5
1970,3,29,0,89,65,77
1970,3,30,0,90,62,76
1970,3,31,0,91,70,80.5
1970,4,1,0,89,71,80
1970,4,2,0,88,68,78
1970,4,3,0,80,60,70
1970,4,4,0.56,80,58,69
1970,4,5,0,77,63,70
1970,4,6,0,73,62,67.5
1970,4,7,0,75,51,63
1970,4,8,0,79,58,68.5
1970,4,9,0,82,51,66.5
1970,4,10,0,84,54,69
1970,4,11,0,81,59,70
1970,4,12,0.4,84,64,74
1970,4,13,0,81,62,71.5
1970,4,14,0,87,58,72.5
1970,4,15,0,84,68,76
1970,4,16,0,81,53,67
1970,4,17,0,84,63,73.5
1970,4,18,0,89,58,73.5
1970,4,19,0,88,62,75
1970,4,20,0,92,64,78
1970,4,21,0,93,66,79.5
1970,4,22,0,92,68,80
1970,4,23,0,90,69,79.5
1970,4,24,0,89,66,77.5
1970,4,25,0,88,64,76
1970,4,26,0,90,65,77.5
1970,4,27,0,91,65,78
1970,4,28,0,93,65,79
1970,4,29,0,92,65,78.5
1970,4,30,0,88,65,76.5
1970,5,1,0,88,68,78
1970,5,2,0,85,65,75
1970,5,3,0,88,56,72
1970,5,4,0,92,64,78
1970,5,5,0.4,84,58,71
1970,5,6,0,85,55,70
1970,5,7,0,90,54,72
1970,5,8,0,89,59,74
1970,5,9,0,88,65,76.5
1970,5,10,0,90,65,77.5
1970,5,11,0,90,65,77.5
1970,5,12,0,88,64,76
1970,5,13,0,89,58,73.5
1970,5,14,0,90,58,74
1970,5,15,0,91,62,76.5
1970,5,16,0,91,60,75.5
1970,5,17,0,91,63,77
1970,5,18,0.2,84,61,72.5
1970,5,19,0,85,69,77
1970,5,20,0,87,65,76
1970,5,21,0,87,65,76
1970,5,22,0,89,67,78
1970,5,23,0,90,68,79
1970,5,24,1.25,80,67,73.5
1970,5,25,0,91,70,80.5
1970,5,26,0,92,66,79
1970,5,27,0,92,65,78.5
1970,5,28,0.1,90,68,79
1970,5,29,0.2,87,70,78.5
1970,5,30,0.12,89,70,79.5
1970,5,31,0.1,89,70,79.5
1970,6,1,0,90,73,81.5
1970,6,2,0,90,72,81
1970,6,3,0,90,66,78
1970,6,4,0,91,67,79
1970,6,5,1.71,88,76,82
1970,6,6,0,90,64,77
1970,6,7,0,90,63,76.5
1970,6,8,0,85,63,74
1970,6,9,0,84,62,73
1970,6,10,0,90,63,76.5
1970,6,11,0,94,70,82
1970,6,12,0.2,90,65,77.5
1970,6,13,0,89,66,77.5
1970,6,14,0,92,67,79.5
1970,6,15,1.25,88,70,79
1970,6,16,0.07,88,70,79
1970,6,17,0,89,72,80.5
1970,6,18,0,90,69,79.5
1970,6,19,0,95,68,81.5
1970,6,20,0,98,70,84
1970,6,21,0,95,70,82.5
1970,6,22,0,97,71,84
1970,6,23,0,91,71,81
1970,6,24,0,90,71,80.5
1970,6,25,0.8,95,70,82.5
1970,6,26,0.76,92,70,81
1970,6,27,0,95,71,83
1970,6,28,1.3,90,67,78.5
1970,6,29,0.05,85,67,76
1970,6,30,0,87,71,79
1970,7,1,0,90,62,76
1970,7,2,0,97,67,82
1970,7,3,0,97,73,85
1970,7,4,0,96,68,82
1970,7,5,0.12,92,70,81
1970,7,6,0,95,70,82.5
1970,7,7,0,92,69,80.5
1970,7,8,0,94,70,82
1970,7,9,2.73,95,69,82
1970,7,10,3,90,69,79.5
1970,7,11,0.81,95,66,80.5
1970,7,12,2.96,94,68,81
1970,7,13,0.14,90,68,79
1970,7,14,0,94,72,83
1970,7,15,0,94,72,83
1970,7,16,0,93,74,83.5
1970,7,17,1.7,94,69,81.5
1970,7,18,0,95,72,83.5
1970,7,19,0.75,94,74,84
1970,7,20,2.37,90,68,79
1970,7,21,0.11,88,67,77.5
1970,7,22,0.84,90,70,80
1970,7,23,0,88,71,79.5
1970,7,24,0,92,73,82.5
1970,7,25,0,91,72,81.5
1970,7,26,0,88,70,79
1970,7,27,0,90,70,80
1970,7,28,0,96,70,83
1970,7,29,0,95,70,82.5
1970,7,30,0,95,78,86.5
1970,7,31,0,97,73,85
1970,8,1,0,97,72,84.5
1970,8,2,0,97,72,84.5
1970,8,3,0,95,72,83.5
1970,8,4,0,96,72,84
1970,8,5,0,95,72,83.5
1970,8,6,0,93,71,82
1970,8,7,0,95,70,82.5
1970,8,8,0.35,96,71,83.5
1970,8,9,1.24,90,70,80
1970,8,10,0.12,85,72,78.5
1970,8,11,0,87,74,80.5
1970,8,12,1.36,86,71,78.5
1970,8,13,0,93,72,82.5
1970,8,14,0,94,71,82.5
1970,8,15,0,90,73,81.5
1970,8,16,0,88,73,80.5
1970,8,17,0,95,72,83.5
1970,8,18,0,95,73,84
1970,8,19,0,92,71,81.5
1970,8,20,0,95,73,84
1970,8,21,0,92,70,81
1970,8,22,0.3,92,69,80.5
1970,8,23,0,95,70,82.5
1970,8,24,0.44,91,72,81.5
1970,8,25,0.04,95,70,82.5
