YEAR,MONTH,DAY,PRECIPITATION,MAX TEMP,MIN TEMP,MEAN TEMP,YES/NO,FLORIDA CITY
1970,1,1,0.0,77.0,57.0,67.0,NO,Zolfo Springs
1970,1,2,0.0,60.0,49.0,54.5,NO,St. Petersburg
1970,1,3,1.0,56.0,48.0,52.0,NO,Melbourne
1970,1,4,0.0,54.0,40.0,47.0,NO,Niceville
1970,1,5,0.0,70.0,43.0,56.5,NO,Indialantic
1970,1,6,1.55,68.0,56.0,62.0,NO,Carrabelle
1970,1,7,0.0,67.0,44.0,55.5,NO,Hypoluxo
1970,1,8,0.0,55.0,28.0,41.5,NO,Atlantic Beach
1970,1,9,0.0,48.0,29.0,38.5,NO,Sopchoppy
1970,1,10,0.0,44.0,24.0,34.0,NO,Fernandina Beach
1970,1,11,0.0,61.0,26.0,43.5,NO,Edgewood
1970,1,12,0.0,75.0,43.0,59.0,NO,Starke
1970,1,13,0.0,71.0,48.0,59.5,NO,Bonita Springs
1970,1,14,0.08,62.0,53.0,57.5,NO,Bristol
1970,1,15,0.95,64.0,56.0,60.0,NO,Pierson
1970,1,16,0.72,71.0,56.0,63.5,NO,Shalimar
1970,1,17,0.0,78.0,61.0,69.5,NO,Deerfield Beach
1970,1,18,0.0,77.0,57.0,67.0,NO,Destin
1970,1,19,0.0,74.0,55.0,64.5,NO,Briny Breezes
1970,1,20,0.0,68.0,45.0,56.5,NO,Pensacola
1970,1,21,0.0,66.0,44.0,55.0,NO,Chipley
1970,1,22,0.0,58.0,37.0,47.5,NO,Bronson
1970,1,23,0.0,66.0,33.0,49.5,NO,Palm Bay
1970,1,24,0.0,65.0,44.0,54.5,NO,Jupiter
1970,1,25,0.0,74.0,38.0,56.0,NO,Miami Beach
1970,1,26,0.0,78.0,52.0,65.0,NO,Beverly Beach
1970,1,27,0.0,75.0,52.0,63.5,NO,Haverhill
1970,1,28,0.0,81.0,58.0,69.5,NO,Zephyrhills
1970,1,29,0.0,82.0,56.0,69.0,NO,Cottondale
1970,1,30,0.05,74.0,58.0,66.0,NO,Aventura
1970,1,31,0.0,60.0,36.0,48.0,NO,Belleair Shore
1970,2,1,0.0,69.0,43.0,56.0,NO,DeFuniak Springs
1970,2,2,1.15,70.0,61.0,65.5,NO,Gretna
1970,2,3,1.02,73.0,55.0,64.0,NO,Davie
